HDI rank;Country;Internally displaced peoplea(thousands)2006e ;Reference 1;Refugees By country of asylum(thousands)2006e;Reference 2;Refugees By country of originc(thousands) 2006e;Reference 3;Conventional arms transfersb(1990 prices) Imports (US$ millions) 1996;Reference 4;Conventional arms transfersb(1990 prices) Imports (US$ millions)2006;Reference 5;Conventional arms Exports US$ millions  2006;Reference 6;Conventional arms Exports Shared(%)  2002-06;Total armed forces Thousands2007;Reference 7;Total armed forces Index (1985 = 100)2007;HDI category
1;Iceland;..;;(.);;(.);;..;;..;;..;;..;0;;..;HIGH HUMAN DEVELOPMENT
2;Norway;..;;43;;..;;183;;501;;2;;(.);23;;62;HIGH HUMAN DEVELOPMENT
3;Australia;..;;69;;(.);;582;;768;;4;;(.);52;;74;HIGH HUMAN DEVELOPMENT
4;Canada;..;;152;;(.);;389;;100;;227;;1;63;;76;HIGH HUMAN DEVELOPMENT
5;Ireland;..;;8;;..;;0;;11;;..;;..;10;;73;HIGH HUMAN DEVELOPMENT
6;Sweden;..;;80;;(.);;104;;122;;472;;2;28;;43;HIGH HUMAN DEVELOPMENT
7;Switzerland;..;;49;;(.);;187;;72;;144;;1;4;;..;HIGH HUMAN DEVELOPMENT
8;Japan;..;;2;;(.);;813;;400;;0;;(.);240;;99;HIGH HUMAN DEVELOPMENT
9;Netherlands;..;;101;;(.);;181;;171;;1,481;;3;53;;50;HIGH HUMAN DEVELOPMENT
10;France;..;;146;;(.);;28;;121;;1,557;;8;255;;55;HIGH HUMAN DEVELOPMENT
11;Finland;..;;12;;(.);;605;;84;;31;;(.);29;;79;HIGH HUMAN DEVELOPMENT
12;United States;..;;844;;1;;540;;417;;7,888;;30;1,506;;70;HIGH HUMAN DEVELOPMENT
13;Spain;..;;5;;2;;435;;378;;803;;1;147;;46;HIGH HUMAN DEVELOPMENT
14;Denmark;..;;37;;(.);;70;;133;;3;;(.);22;;74;HIGH HUMAN DEVELOPMENT
15;Austria;..;;25;;(.);;10;;0;;61;;(.);40;;73;HIGH HUMAN DEVELOPMENT
16;United Kingdom;..;;302;;0;;735;;462;;1,071;;4;191;;57;HIGH HUMAN DEVELOPMENT
17;Belgium;..;;17;;(.);;4;;4;;50;;(.);40;;44;HIGH HUMAN DEVELOPMENT
18;Luxembourg;..;;2;;..;;4;;0;;..;;..;1;;129;HIGH HUMAN DEVELOPMENT
19;New Zealand;..;;5;;(.);;7;;8;;0;;(.);9;;73;HIGH HUMAN DEVELOPMENT
20;Italy;..;;27;;(.);;293;;697;;860;;2;191;;50;HIGH HUMAN DEVELOPMENT
21;Hong Kong, China (SAR);..;;2;;(.);;..;;..;;..;;..;..;;..;HIGH HUMAN DEVELOPMENT
22;Germany;..;;605;;(.);;213;;529;;3,850;;9;246;;51;HIGH HUMAN DEVELOPMENT
23;Israel;420;f;1;;1;;88;;994;;224;;2;168;;118;HIGH HUMAN DEVELOPMENT
24;Greece;..;;2;;(.);;377;;1,452;;23;;(.);147;;73;HIGH HUMAN DEVELOPMENT
25;Singapore;..;;..;;(.);;153;;54;;0;;(.);73;;133;HIGH HUMAN DEVELOPMENT
26;Korea (Republic of);..;;(.);;1;;1,759;;1,292;;89;;(.);687;;115;HIGH HUMAN DEVELOPMENT
27;Slovenia;..;;(.);;2;;14;;2;;..;;..;7;;..;HIGH HUMAN DEVELOPMENT
28;Cyprus;210;g;1;;(.);;169;;26;;0;;(.);10;;100;HIGH HUMAN DEVELOPMENT
29;Portugal;..;;(.);;(.);;7;;431;;..;;..;44;;60;HIGH HUMAN DEVELOPMENT
30;Brunei Darussalam;..;;..;;..;;17;;3;;..;;..;7;;171;HIGH HUMAN DEVELOPMENT
31;Barbados;..;;..;;(.);;..;;..;;..;;..;1;;61;HIGH HUMAN DEVELOPMENT
32;Czech Republic;..;;2;;2;;24;;65;;56;;(.);25;;12;HIGH HUMAN DEVELOPMENT
33;Kuwait;..;;(.);;1;;1,161;;107;;0;;(.);16;;133;HIGH HUMAN DEVELOPMENT
34;Malta;..;;2;;(.);;1;;0;;0;;(.);2;;250;HIGH HUMAN DEVELOPMENT
35;Qatar;..;;(.);;(.);;201;;0;;0;;(.);12;;200;HIGH HUMAN DEVELOPMENT
36;Hungary;..;;8;;3;;138;;337;;0;;(.);32;;30;HIGH HUMAN DEVELOPMENT
37;Poland;..;;7;;14;;99;;224;;169;;(.);142;;45;HIGH HUMAN DEVELOPMENT
38;Argentina;..;;3;;1;;57;;53;;0;;(.);72;;67;HIGH HUMAN DEVELOPMENT
39;United Arab Emirates;..;;(.);;(.);;474;;2,439;;7;;(.);51;;119;HIGH HUMAN DEVELOPMENT
40;Chile;..;;1;;1;;180;;1,125;;0;;(.);76;;75;HIGH HUMAN DEVELOPMENT
41;Bahrain;..;;..;;(.);;181;;60;;0;;(.);11;;393;HIGH HUMAN DEVELOPMENT
42;Slovakia;..;;(.);;1;;30;;0;;0;;(.);15;;..;HIGH HUMAN DEVELOPMENT
43;Lithuania;..;;1;;1;;15;;33;;0;;(.);12;;..;HIGH HUMAN DEVELOPMENT
44;Estonia;..;;(.);;1;;1;;8;;0;;(.);4;;..;HIGH HUMAN DEVELOPMENT
45;Latvia;..;;(.);;1;;0;;4;;..;;..;5;;..;HIGH HUMAN DEVELOPMENT
46;Uruguay;..;;(.);;(.);;4;;7;;0;;(.);25;;78;HIGH HUMAN DEVELOPMENT
47;Croatia;7;;2;;94;;14;;0;;0;;(.);21;;..;HIGH HUMAN DEVELOPMENT
48;Costa Rica;..;;12;;(.);;..;;..;;..;;..;0;;..;HIGH HUMAN DEVELOPMENT
49;Bahamas;..;;..;;(.);;0;;0;;..;;..;1;;172;HIGH HUMAN DEVELOPMENT
50;Seychelles;..;;..;;(.);;..;;..;;..;;..;(.);;17;HIGH HUMAN DEVELOPMENT
51;Cuba;..;;1;;34;;..;;..;;..;;..;49;;30;HIGH HUMAN DEVELOPMENT
52;Mexico;12;g;3;;3;;79;;68;;..;;..;238;;184;HIGH HUMAN DEVELOPMENT
53;Bulgaria;..;;5;;3;;123;;20;;0;;(.);51;;34;HIGH HUMAN DEVELOPMENT
54;Saint Kitts and Nevis;..;;..;;..;;..;;..;;..;;..;..;;..;HIGH HUMAN DEVELOPMENT
55;Tonga;..;;..;;(.);;0;;0;;..;;..;..;;..;HIGH HUMAN DEVELOPMENT
56;Libyan Arab Jamahiriya;..;;3;;2;;0;;5;;24;;(.);76;;..;HIGH HUMAN DEVELOPMENT
57;Antigua and Barbuda;..;;..;;(.);;..;;..;;..;;..;(.);;170;HIGH HUMAN DEVELOPMENT
58;Oman;..;;(.);;(.);;284;;406;;0;;(.);42;;144;HIGH HUMAN DEVELOPMENT
59;Trinidad and Tobago;..;;..;;(.);;0;;0;;..;;..;3;;143;HIGH HUMAN DEVELOPMENT
60;Romania;..;;2;;7;;41;;131;;0;;(.);70;;37;HIGH HUMAN DEVELOPMENT
61;Saudi Arabia;..;;241;;1;;1,725;;148;;0;;(.);225;;360;HIGH HUMAN DEVELOPMENT
62;Panama;..;;2;;(.);;0;;0;;..;;..;0;;0;HIGH HUMAN DEVELOPMENT
63;Malaysia;..;;37;;1;;38;;654;;0;;(.);109;;99;HIGH HUMAN DEVELOPMENT
64;Belarus;..;;1;;9;;0;;254;;0;;(.);73;;..;HIGH HUMAN DEVELOPMENT
65;Mauritius;..;;..;;(.);;30;;0;;..;;..;0;;0;HIGH HUMAN DEVELOPMENT
